Category,Length,Views,Rate
Music,42,4,0
Entertainment,359,0,0
Comedy,301,0,0
Music,32,17,0
Film & Animation,12,0,0
Film & Animation,57,5,0
Music,33,5,0
Music,276,1,0
Music,121,17,0
Education,33,9,0
People & Blogs,4,0,0
Music,162,1,0
Education,233,9,0
Entertainment,192,10,0
Entertainment,185,0,0
Entertainment,109,0,0
Sports,24,22,5
Music,71,0,0
Education,17,0,0
Entertainment,167,3,0
Entertainment,247,0,0
Entertainment,71,3,0
Music,233,0,0
Entertainment,109,0,0
Music,58,0,0
Entertainment,336,0,0
People & Blogs,18,1,0
Film & Animation,205,20,5
Film & Animation,489,0,0
Film & Animation,297,0,0
People & Blogs,9,0,0
Music,413,0,0
Music,258,0,0
Film & Animation,177,0,0
Film & Animation,30,0,0
Entertainment,83,0,0
Sports,153,0,0
Music,246,1,0
Education,447,0,0
Sports,34,16,0
Music,54,0,0
Film & Animation,242,0,0
Entertainment,211,29,0
People & Blogs,261,0,0
Sports,101,0,0
Music,31,0,0
Autos & Vehicles,198,1,0
News & Politics,399,0,0
Sports,264,0,0
Music,25,2,0
Entertainment,646,0,0
Comedy,156,0,0
Science & Technology,603,0,0
Entertainment,79,0,0
Comedy,303,0,0
Comedy,93,0,0
Film & Animation,167,0,0
People & Blogs,9,0,0
Music,457,117,0
Film & Animation,128,2,0
Entertainment,15,1,0
Comedy,1,0,0
Comedy,139,0,0
People & Blogs,129,0,0
Music,72,0,0
People & Blogs,50,0,0
Music,25,0,0
Entertainment,226,1,0
Sports,254,0,0
Sports,40,0,0
Entertainment,144,0,0
Music,373,5,0
Music,60,0,0
People & Blogs,89,0,0
Music,362,0,0
Music,483,1,0
Music,221,0,0
Autos & Vehicles,549,0,0
Comedy,43,6,0
People & Blogs,75,0,0
Sports,208,0,0
Entertainment,106,8489,4.27
Comedy,149,112478,4.72
Comedy,350,101547,4.22
Entertainment,264,120867,4.72
Entertainment,56,141083,4.12
Music,94,102578,4.68
Entertainment,114,82085,4.67
Comedy,90,42840,4.59
News & Politics,242,94588,4.53
Science & Technology,337,37668,4.79
Comedy,241,14943,4.96
Film & Animation,62,37312,3
Entertainment,66,4764,4.94
Entertainment,356,42164,4.82
Comedy,75,1967,4.45
Comedy,319,9517,4.8
Music,186,62928,4.89
Entertainment,40,38744,4.42
People & Blogs,790,126139,4.55
Entertainment,423,14540,4.9
Comedy,84,450342,4.49
Entertainment,146,84582,4
Comedy,200,567905,4.62
Entertainment,437,444832,4.87
Entertainment,159,652058,4.23
Entertainment,516,137936,4.51
News & Politics,402,106333,3.03
Entertainment,264,167946,4.7
People & Blogs,79,58630,4.89
Film & Animation,222,121049,4.41
Pets & Animals,36,1076944,4.48
Howto & Style,32,802735,3.2
Entertainment,273,4512,4.22
People & Blogs,197,5029,3.06
Howto & Style,41,749615,1.88
Comedy,132,2320,4.52
Education,182,668,2
Entertainment,166,436083,3.25
Music,207,142910,3.74
People & Blogs,229,1534,5
Entertainment,83,263,5
Comedy,188,314,5
Music,246,3619,5
Music,248,1153,1.86
Music,175,1286,4.82
Entertainment,110,11241,4.58
Music,257,1693,4.74
Comedy,109,1448741,3.32
Howto & Style,20,273809,2.68
News & Politics,31,210865,2.28
Howto & Style,72,170101,3.74
Sports,125,175388,4.65
News & Politics,221,143481,4.34
Music,204,135912,3.56
News & Politics,75,124779,4.84
Sports,644,126489,4.54
News & Politics,68,114835,4.73
Entertainment,124,95152,3.85
News & Politics,68,92927,4.72
News & Politics,30,81668,4.51
Comedy,57,69570,4.65
Entertainment,242,73800,4.12
Howto & Style,5,787345,1.38
Entertainment,327,713952,2.57
People & Blogs,40,555581,3.26
Travel & Events,50,678042,3
People & Blogs,185,488444,4.16
Sports,117,480652,4.57
Comedy,265,38217,4.91
Music,65,50217,4.8
Music,181,23862,4.64
Entertainment,317,10892,4.88
Entertainment,351,9099,4.93
Music,264,41442,4.52
Science & Technology,150,4881,4.85
Entertainment,259,7768,4.94
Entertainment,398,35986,4.58
Film & Animation,472,4534,4.91
Education,599,6032,4.95
Entertainment,258,210629,4.91
Entertainment,137,123933,4.8
Entertainment,125,91529,4.94
Entertainment,136,62292,4.82
Entertainment,99,76075,4.85
Music,315,155239,4.85
Comedy,192,95063,4.69
Music,201,16476,4.95
Education,305,4512,4.92
People & Blogs,211,6529,4.91
Entertainment,293,14511,4.78
Comedy,157,8124,4.78
Comedy,244,18741,4.83
Pets & Animals,92,172550,4.66
News & Politics,88,178231,4.58
Autos & Vehicles,382,133544,4.42
Howto & Style,119,45722,3.87
News & Politics,201,25170,4.06
Howto & Style,222,34685,4.41
Howto & Style,291,27187,3.86
Howto & Style,109,57987,3.5
People & Blogs,110,39707,4.21
Howto & Style,129,27744,4.44
Howto & Style,111,8484,4.54
Sports,181,250323,4.15
Science & Technology,125,379657,4.6
Travel & Events,351,210240,3.37
Music,173,358836,4.56
Entertainment,212,26379,4.75
Entertainment,24,1587,3.5
Entertainment,153,76095,4.33
Music,186,2640,4
Entertainment,87,31328,3.89
Film & Animation,635,190168,4.73
Sports,314,5433,4.5
Entertainment,331,22809,2.75
Comedy,289,19727,4.39
Comedy,75,86257,4.45
Comedy,8,145,1
Comedy,120,150,0
Education,344,182,5
Film & Animation,287,148,3
Education,230,139,1
Comedy,213,152,1
Comedy,322,84,0
Music,519,108,0
Music,184,137,0
Music,53,118,0
Entertainment,38,146,1
Entertainment,108,0,0
Entertainment,48,21,0
Comedy,106,8,0
Pets & Animals,59,0,0
Comedy,39,0,0
People & Blogs,103,0,0
Film & Animation,335,9,5
Comedy,13,18,0
Comedy,45,36,0
Pets & Animals,41,0,0
Music,125,17,0
Education,121,0,0
Travel & Events,323,14,0
Film & Animation,177,0,0
Comedy,40,9,0
Comedy,34,9,0
People & Blogs,126,0,0
Film & Animation,31,9,4
Education,30,138,0
Entertainment,41,2,0
Comedy,8,0,0
Comedy,16,2,0
Music,87,2,0
Science & Technology,503,0,0
Music,258,0,0
Music,209,0,0
Film & Animation,104,3,0
Music,188,15,0
People & Blogs,296,1,0
People & Blogs,559,3,0
Pets & Animals,188,0,0
Music,29,0,0
Music,212,0,0
Entertainment,281,0,0
Entertainment,357,11,5
Music,7,0,0
Film & Animation,507,0,0
Howto & Style,32,0,0
Comedy,11,2,0
Sports,10,13,0
Music,25,4,0
Entertainment,61,10,0
Entertainment,272,3,0
Comedy,9,16,0
People & Blogs,417,9,0
Music,106,5,0
Nonprofits & Activism,246,19,0
Comedy,255,0,0
Sports,19,13,0
Pets & Animals,10,3,5
Music,477,4,0
Education,97,2,0
Comedy,235,1,0
Travel & Events,56,1,0
Sports,180,8,0
Music,251,0,0
Film & Animation,309,6,0
Entertainment,2,25,0
Entertainment,67,0,0
People & Blogs,10,12,0
Music,186,0,0
Autos & Vehicles,17,0,0
Comedy,41,0,0
People & Blogs,40,0,0
Music,482,0,0
Music,214,9,0
Entertainment,260,3,0
Comedy,123,0,0
Comedy,95,7,0
People & Blogs,94,11,0
Music,184,4,0
Entertainment,48,0,0
People & Blogs,26,1,0
Music,308,0,0
Entertainment,84,0,0
Entertainment,596,0,0
Comedy,600,0,0
People & Blogs,11,0,0
Music,246,0,0
Autos & Vehicles,6,7,0
Education,56,7,0
Entertainment,123,4,0
Entertainment,50,0,0
Sports,284,0,0
Music,393,0,0
Music,242,1,0
News & Politics,211,5,0
Entertainment,164,0,0
Comedy,95,0,0
Entertainment,206,290865,4.56
People & Blogs,196,60483,2.45
People & Blogs,644,311879,4.46
Music,273,358293,4.69
Entertainment,61,122620,4.85
News & Politics,41,135237,2.48
Comedy,237,64200,4.27
Music,334,174482,4.57
Music,425,172886,3.17
Entertainment,364,63911,4.6
Music,392,119542,3.8
Comedy,181,2069,4.57
Entertainment,284,44400,4.85
Entertainment,205,51345,4.71
People & Blogs,238,17585,4.91
Comedy,128,89155,4.75
Music,191,64630,4.79
Comedy,125,18862,4.81
Entertainment,250,44963,4.85
People & Blogs,236,22465,4.52
People & Blogs,89,64567,3.05
News & Politics,54,146167,2.25
Comedy,103,179931,3.64
People & Blogs,517,809,5
Music,262,650,2.54
Film & Animation,86,527163,4.72
Comedy,96,284394,4.05
Comedy,622,17500,4.85
Music,356,161455,4.7
Comedy,378,309094,3.67
Howto & Style,69,590107,3.37
News & Politics,258,1353,2.82
Howto & Style,417,100159,4.33
Music,196,153,4.8
People & Blogs,196,1131,4.82
Comedy,193,315,4.53
Comedy,98,724,4.86
Pets & Animals,47,916910,4.22
Film & Animation,71,464788,4.22
Entertainment,5,410790,1.43
Film & Animation,594,139077,4.44
Pets & Animals,35,161471,4.29
Music,345,176898,4.02
Music,220,181080,4.4
Sports,95,143199,4.39
Music,261,127637,4.76
Sports,118,129107,4.69
Entertainment,660,114843,4.75
Music,219,113052,3.33
Film & Animation,599,26373,5
Music,494,71691,4.88
Music,256,26590,4.87
Music,224,92411,4.7
Sports,332,81682,4.79
Music,223,923,4.08
Music,269,1154,4.97
Music,280,1429,4.43
Music,264,824,2.91
Music,293,1009,4.34
Music,262,898,4.98
Music,230,969,5
Entertainment,319,312857,4.75
Comedy,285,32890,4.81
Entertainment,300,344534,4.84
Entertainment,368,35942,4.82
News & Politics,96,10231,4.94
Comedy,568,15939,4.94
Entertainment,164,15368,4.73
Entertainment,421,8842,4.76
Entertainment,90,904209,4.4
Film & Animation,190,62606,4.74
Film & Animation,103,197372,4.33
News & Politics,32,107827,4.09
News & Politics,12,131203,2.43
News & Politics,63,103485,4.03
Film & Animation,594,1314,3
Music,340,7728,4.55
Comedy,74,9692,3.57
Film & Animation,61,82681,4.95
Comedy,56,108351,3.8
Entertainment,593,14006,4.47
Science & Technology,313,77518,4.78
Music,72,30617,3.5
Science & Technology,63,25585,3.23
Travel & Events,90,11434,5
Sports,317,16014,4.91
Entertainment,537,50555,4.96
Comedy,42,148,0
People & Blogs,3,134,0
Music,291,202,0
Entertainment,21,135,0
Comedy,178,107,0
Travel & Events,92,118,0
Music,237,114,0
Nonprofits & Activism,461,161,0
Music,121,124,0
Entertainment,184,100,0
Entertainment,483,15,0
Comedy,122,21,0
People & Blogs,52,17,0
Travel & Events,88,10,0
Music,282,15,0
Entertainment,201,7,0
Entertainment,58,10,0
Comedy,25,16,0
Music,312,2,0
Autos & Vehicles,174,4,0
Education,504,9,0
Comedy,37,9,0
Comedy,7,151,5
Entertainment,269,20,0
Science & Technology,31,7,0
Entertainment,21,24,5
Entertainment,225,39,0
Comedy,125,14,0
Comedy,58,0,0
People & Blogs,185,0,0
Pets & Animals,282,9,0
Music,39,0,0
Autos & Vehicles,19,0,0
Education,52,17,5
Comedy,250,6,0
Sports,142,0,0
Film & Animation,177,0,0
People & Blogs,39,6,0
Music,77,0,0
Entertainment,350,3,0
Autos & Vehicles,46,7,0
News & Politics,600,0,0
Entertainment,113,12,0
Comedy,31,1,0
Music,71,0,0
Education,263,0,0
Entertainment,49,9,0
Comedy,44,134,1
Comedy,134,0,0
Film & Animation,269,3,0
Entertainment,19,8,0
Entertainment,5,8,0
Entertainment,26,13,0
Comedy,221,0,0
Music,192,2,0
Film & Animation,424,0,0
Music,38,21,0
Comedy,5,26,0
People & Blogs,383,5,0
People & Blogs,16,0,0
Music,123,0,0
Science & Technology,131,0,0
Education,206,0,0
Entertainment,335,0,0
Comedy,57,2,0
Music,304,0,0
Autos & Vehicles,70,11,0
Entertainment,273,5,0
Sports,71,1,0
Music,301,0,0
Music,178,12,0
Entertainment,30,10,0
People & Blogs,68,11,0
Sports,52,4,0
Sports,245,8,0
Music,225,0,0
News & Politics,219,10,0
Entertainment,88,35,0
Entertainment,275,0,0
People & Blogs,44,0,0
People & Blogs,14,0,0
Travel & Events,139,1,0
Music,321,0,0
Music,93,0,0
Entertainment,77,1,0
Comedy,16,0,0
Sports,344,19,0
Education,18,0,0
Entertainment,158,0,0
Entertainment,657,0,0
People & Blogs,103,1,0
People & Blogs,142,0,0
Sports,89,0,0
Education,210,8,0
Comedy,142,12,0
Sports,176,0,0
Music,140,0,0
Education,72,2,0
Comedy,368,95204,4.75
Howto & Style,85,11751,4.88
Entertainment,430,130256,4.17
Entertainment,562,159006,4.89
Entertainment,266,95384,4.76
Howto & Style,142,399861,3.67
Music,202,216825,2.65
Entertainment,155,49159,3.19
People & Blogs,337,30807,4.75
Comedy,71,119859,4.74
Comedy,242,34279,4.84
People & Blogs,525,285174,4.37
People & Blogs,99,227,5
People & Blogs,82,80,5
Entertainment,81,207,4.97
Entertainment,886,52513,4.93
People & Blogs,165,30958,4.78
Music,258,326374,4.19
Film & Animation,453,54398,4.89
People & Blogs,35,42841,3.86
News & Politics,401,113784,3.8
Comedy,204,125647,4.29
People & Blogs,225,14097,4.12
Film & Animation,489,93551,3.77
People & Blogs,139,1872,3.5
Howto & Style,90,493407,4.07
Film & Animation,107,293232,2.89
Entertainment,1,2084,2.6
Howto & Style,51,526620,2.71
Comedy,120,6840,4.65
Entertainment,41,7214,1.42
Entertainment,197,700558,3.13
Comedy,146,385898,2.02
Comedy,270,234149,2.98
Comedy,48,172232,3.85
Entertainment,304,132630,4.27
Entertainment,487,128047,4.82
Entertainment,639,43558,5
News & Politics,254,102126,4.88
Film & Animation,103,110267,4.71
Entertainment,277,107659,4.92
Entertainment,433,114169,4.89
Sports,56,82771,4.53
Entertainment,472,99243,4.88
Entertainment,231,508320,3.2
Music,239,90189,4.64
Entertainment,277,66011,4.89
Comedy,85,19130,4.75
Entertainment,495,41339,4.22
Music,221,751,4.97
Music,280,2514,4.97
Music,269,931,4.69
Music,254,1257,4.98
Music,264,607,4.97
Music,262,831,4.99
Music,223,931,4.99
Music,265,37475,4.92
Entertainment,167,53235,4.72
People & Blogs,600,64182,4.91
Pets & Animals,238,8223,4.83
Entertainment,886,10296,4.95
Entertainment,80,18960,4.83
People & Blogs,196,13533,4.9
Music,236,711,4.76
Music,255,101511,3.63
Music,339,52752,4.83
 UNA ,246,466041,4.45
Sports,135,83011,4.65
Sports,42,40203,4.79
Music,279,39173,4.81
Music,16,8216,3.17
Entertainment,138,72872,4.03
Film & Animation,46,64007,4.3
Music,323,415334,4.72
Music,350,0,0
Film & Animation,38,0,0
Science & Technology,34,0,0
People & Blogs,619,0,0
Sports,126,1,0
Music,267,0,0
Film & Animation,216,0,0
Travel & Events,77,0,0
Entertainment,451,0,0
Entertainment,196,0,0
People & Blogs,595,0,0
People & Blogs,29,0,0
Music,99,0,0
Entertainment,76,0,0
People & Blogs,24,0,0
Music,243,0,0
Comedy,7,0,0
Comedy,6,0,0
Comedy,60,0,0
People & Blogs,142,0,0
People & Blogs,5,0,0
Travel & Events,255,0,0
Comedy,346,0,0
Comedy,277,0,0
Sports,36,0,0
Pets & Animals,83,1,0
Music,302,0,0
News & Politics,32,0,0
Entertainment,120,0,0
Sports,147,1,0
Music,250,0,0
Film & Animation,34,0,0
Education,49,0,0
Entertainment,267,0,0
Entertainment,79,0,0
Entertainment,29,0,0
Entertainment,72,0,0
People & Blogs,10,2,0
Entertainment,59,0,0
Music,83,0,0
Music,205,0,0
Science & Technology,160,0,0
Education,182,0,0
Education,14,0,0
Entertainment,351,0,0
Music,122,0,0
Education,172,0,0
Entertainment,114,0,0
Entertainment,26,0,0
Comedy,324,0,0
News & Politics,120,0,0
Entertainment,277,0,0
Music,138,0,0
Music,244,1,0
Music,230,0,0
Education,194,0,0
Entertainment,455,0,0
Autos & Vehicles,242,0,0
Comedy,75,0,0
Sports,245,4,5
News & Politics,181,0,0
Entertainment,339,1,0
Entertainment,314,0,0
Comedy,12,0,0
Music,14,0,0
Education,155,1,0
People & Blogs,114,0,0
People & Blogs,17,0,0
Sports,85,0,0
Music,259,0,0
Comedy,56,0,0
People & Blogs,3,0,0
Sports,108,0,0
Film & Animation,457,0,0
Pets & Animals,54,5,0
Film & Animation,620,0,0
Film & Animation,71,0,0
Comedy,65,1,0
Music,342,1,0
Film & Animation,103,0,0
Howto & Style,16,0,0
People & Blogs,34,0,0
People & Blogs,49,0,0
Film & Animation,264,2,0
Film & Animation,85,0,0
Howto & Style,59,0,0
Music,232,0,0
Film & Animation,328,0,0
Film & Animation,607,0,0
Entertainment,108,1,0
Sports,79,0,0
Music,198,0,0
Autos & Vehicles,17,0,0
Entertainment,173,0,0
Entertainment,93,0,0
People & Blogs,29,0,0
Music,291,0,0
Music,58,0,0
Music,298,0,0
Music,278,0,0
News & Politics,97,321840,4.46
Entertainment,133,101375,4.68
Entertainment,256,145658,4.78
Science & Technology,590,87788,4.64
Entertainment,300,268534,4.72
Comedy,217,305254,4.89
Comedy,212,110749,3.69
Comedy,260,45198,4.32
Entertainment,133,19435,4.81
People & Blogs,48,307,4.28
Entertainment,168,224,4.86
Entertainment,150,181453,4.39
Entertainment,195,34068,3.14
Entertainment,493,84544,4.67
Education,95,5817,3.78
People & Blogs,1038,123679,4.57
News & Politics,349,37740,4.63
People & Blogs,227,54433,4.47
Comedy,33,11578,3.97
Education,23,46036,2.41
Music,219,811,4.33
Music,64,1565,4.17
Film & Animation,261,110834,4.16
Film & Animation,117,245082,4.3
News & Politics,74,375,3
Sports,200,994,4.86
Sports,207,436180,3.59
People & Blogs,146,181,5
News & Politics,57,250138,3.26
Entertainment,260,206756,3.76
Film & Animation,92,409,2.6
Music,334,416,2.5
Howto & Style,53,133743,2.58
Sports,167,80424,4.74
Comedy,600,94704,4.51
Entertainment,7,59044,2.16
People & Blogs,430,66366,4.6
Sports,136,95065,4.85
Comedy,600,83754,4.51
Entertainment,66,62249,4.77
Music,217,58849,2.52
Entertainment,313,627519,2.65
Entertainment,122,568310,4.8
Music,115,13235,4.81
Comedy,239,14170,4.91
Education,216,4683,4.97
Music,207,5565,4.81
Nonprofits & Activism,133,5453,4.84
Entertainment,659,21702,4.91
Entertainment,52,8877,4.92
Comedy,448,24094,4.78
Film & Animation,216,5327,4.85
Entertainment,290,3605,0
News & Politics,476,4893,4.94
Music,51,6921,4.74
Comedy,467,5462,4.88
Entertainment,327,212,4.86
People & Blogs,1377,9085,4.74
Entertainment,178,31987,4.68
Entertainment,167,7484,4.69
Comedy,222,5605,4.85
Comedy,432,65465,4.86
Music,42,237908,4.52
Travel & Events,450,143501,4.58
Sports,487,178886,4.1
Entertainment,460,12324,5
News & Politics,91,192179,4.71
Film & Animation,600,74858,4.79
Entertainment,278,10940,4.96
News & Politics,42,10051,4.27
Science & Technology,30,23310,4
News & Politics,426,207653,4.29
Howto & Style,198,10300,5
Entertainment,52,85892,4.69
Comedy,118,68,0
People & Blogs,188,24,0
Music,161,36,0
Music,92,32,0
Music,281,14,0
Film & Animation,145,30,0
Education,56,0,0
Howto & Style,33,34,0
Entertainment,428,28,0
Film & Animation,209,7,0
People & Blogs,204,0,0
People & Blogs,30,6,0
Entertainment,42,0,0
Music,189,0,0
Education,362,0,0
Entertainment,167,2,0
Comedy,116,0,0
People & Blogs,340,4,0
People & Blogs,208,2,0
Sports,93,3,0
Music,359,3,0
Music,140,0,0
Howto & Style,425,3,0
Entertainment,98,1,0
Pets & Animals,40,0,0
Science & Technology,26,9,0
Entertainment,29,0,0
Entertainment,35,0,0
Comedy,157,0,0
People & Blogs,97,0,0
Education,99,0,0
Comedy,15,0,0
Comedy,186,5,0
People & Blogs,274,10,0
Travel & Events,98,0,0
Music,220,3,0
Entertainment,289,0,0
Comedy,95,0,0
News & Politics,27,12,0
Music,173,0,0
Music,293,0,0
Entertainment,57,0,0
Comedy,28,0,0
People & Blogs,385,0,0
People & Blogs,152,0,0
Sports,64,0,0
Autos & Vehicles,286,0,0
News & Politics,169,1,0
Entertainment,608,6,0
People & Blogs,117,0,0
Autos & Vehicles,44,0,0
Film & Animation,217,8,0
Howto & Style,108,0,0
Comedy,61,1,0
Travel & Events,395,5,0
Sports,70,0,0
Film & Animation,40,1,0
Entertainment,202,3,0
People & Blogs,17,214,3
Music,291,5,5
Science & Technology,44,0,0
People & Blogs,129,15,0
Travel & Events,186,2,0
Travel & Events,207,0,0
News & Politics,180,1,0
Comedy,31,0,0
Music,264,7,0
Film & Animation,16,6,0
Entertainment,40,8,0
Comedy,25,7,0
Music,221,0,0
Music,97,0,0
Science & Technology,100,0,0
News & Politics,373,7,0
People & Blogs,17,0,0
Music,16,3,0
Music,265,0,0
Music,453,0,0
Autos & Vehicles,34,2,0
Entertainment,122,21,0
Comedy,105,7,0
Comedy,11,0,0
People & Blogs,8,4,0
Travel & Events,193,0,0
Howto & Style,348,0,0
Comedy,53,1,5
Music,447,0,0
Music,239,0,0
Film & Animation,552,0,0
Film & Animation,231,0,0
Music,15,0,0
Music,215,0,0
Entertainment,146,2,0
Comedy,21,0,0
Comedy,351,7,0
Film & Animation,8,5,0
Education,46,4,0
Entertainment,98,11,0
Entertainment,94,61,0
Entertainment,77,0,0
Comedy,116,380354,4.64
People & Blogs,41,6639,4.91
Entertainment,476,37191,4.84
People & Blogs,94,42834,2.33
Entertainment,169,102819,4.73
Pets & Animals,399,45799,4.82
Entertainment,294,22529,4.83
People & Blogs,283,57645,4.64
Film & Animation,62,62087,4.94
Entertainment,782,19961,4.93
Sports,270,273952,4.69
Entertainment,392,9660,4.81
Entertainment,183,140059,4.5
News & Politics,63,46913,4.56
People & Blogs,130,4723,3.46
Sports,126,223389,4.84
Entertainment,390,5182,1.43
Entertainment,232,79310,4.85
Comedy,151,381,4.76
Entertainment,294,13430,4.88
Entertainment,64,503999,4.47
People & Blogs,230,660,4
Comedy,405,24312,4.93
Comedy,163,168046,3.52
Howto & Style,41,819018,3.53
Comedy,371,511128,3.15
Nonprofits & Activism,436,67,5
Music,282,813287,4.92
Film & Animation,375,384,4
Entertainment,601,6280,3.77
Howto & Style,76,238598,1.57
Music,469,218640,2.39
Entertainment,70,181014,2.73
News & Politics,75,214206,3.34
Music,366,113531,3.49
People & Blogs,25,92043,2.9
Comedy,78,355411,4.45
Comedy,90,80116,4.61
Entertainment,144,150052,3.26
Music,287,89142,4.21
News & Politics,67,90426,2.98
News & Politics,120,84912,4.39
Sports,128,75489,4.74
Entertainment,146,419618,4.61
Entertainment,364,42351,4.95
Howto & Style,30,1146,4.91
Music,273,39384,4.82
News & Politics,473,7504,4.89
Entertainment,369,10983,4.75
Music,228,57463,3.8
Music,231,36491,4.87
Music,309,930,4.98
Music,254,844,4.99
Music,229,721,4.96
Music,254,1966,3.98
Music,302,1246,4.98
Music,264,781,5
Music,211,536,4.23
Music,264,550,4
Music,234,456,4.75
Music,411,82561,4.85
People & Blogs,711,13470,4.88
Entertainment,140,48468,4.71
Entertainment,269,9906,4.82
People & Blogs,422,5835,4.8
People & Blogs,165,13524,4.64
Travel & Events,55,1426,3.82
Comedy,467,220014,3.39
Comedy,243,132188,3.87
Comedy,442,155387,4.11
Comedy,133,89206,3.61
Comedy,74,97565,4.39
Comedy,193,86173,3.6
Comedy,264,98308,4.27
Comedy,311,113237,2.87
Comedy,166,85815,3.57
Comedy,383,44938,4.41
Sports,32,147468,4.74
Entertainment,147,20156,4.44
Entertainment,211,34958,2.43
Film & Animation,151,109181,4.58
Comedy,76,86,0
Comedy,270,81,0
People & Blogs,462,96,0
People & Blogs,203,86,0
People & Blogs,31,78,0
Film & Animation,164,73,5
Entertainment,516,48,5
Entertainment,199,74,0
People & Blogs,558,54,0
Film & Animation,94,94,5
Entertainment,79,14,0
Comedy,28,6,0
Music,163,5,0
Film & Animation,198,13,0
Entertainment,152,7,0
People & Blogs,27,11,0
People & Blogs,328,5,0
Music,171,0,0
Entertainment,69,93,1
Music,147,19,0
Science & Technology,150,0,0
Entertainment,374,6,5
Comedy,51,0,0
People & Blogs,172,5,0
Music,179,0,0
Autos & Vehicles,27,11,0
Music,252,4,0
Film & Animation,32,4,0
Howto & Style,187,0,0
People & Blogs,42,3,0
Sports,151,1,0
People & Blogs,88,0,0
Pets & Animals,20,3,0
Film & Animation,168,0,0
Science & Technology,212,9,0
Entertainment,210,1,0
Sports,93,0,0
Music,192,0,0
Music,462,0,0
Comedy,27,39,0
People & Blogs,131,1,0
Pets & Animals,44,23,0
People & Blogs,42,0,0
Sports,5,8,0
Entertainment,89,0,0
People & Blogs,56,5,0
Sports,105,3,0
Music,26,1,0
Entertainment,183,4,0
Travel & Events,80,0,0
Music,165,4,0
Film & Animation,61,0,0
Comedy,99,7,0
Sports,240,0,0
Entertainment,515,0,0
Film & Animation,74,9,0
Music,233,6,0
Comedy,90,0,0
People & Blogs,101,30,5
Science & Technology,7,6,0
People & Blogs,22,0,0
Autos & Vehicles,23,0,0
Film & Animation,111,0,0
Comedy,15,0,0
Entertainment,245,2,0
Entertainment,594,14,0
Sports,84,0,0
Entertainment,219,11,0
Film & Animation,243,0,0
Film & Animation,409,2,0
Entertainment,177,0,0
Sports,149,5,0
Comedy,230,9,0
Comedy,7,0,0
People & Blogs,54,0,0
People & Blogs,119,3,0
People & Blogs,120,7,0
Film & Animation,129,6,0
Entertainment,308,4,0
Film & Animation,78,15,0
Comedy,140,4,0
Sports,351,1,0
Music,53,3,0
News & Politics,279,0,0
Entertainment,53,0,0
Entertainment,532,0,0
Entertainment,181,9,0
People & Blogs,238,0,0
Pets & Animals,24,1,0
Music,91,3,0
Entertainment,117,0,0
Entertainment,13,3,0
Comedy,36,0,0
People & Blogs,180,15,0
Sports,6,0,0
Sports,67,0,0
Sports,7,0,0
Music,160,0,0
People & Blogs,240,100180,4.81
Music,43,176743,4.82
Comedy,170,248643,4.7
Entertainment,446,229688,4.86
People & Blogs,180,13918,4.36
Music,235,169557,4.08
Entertainment,182,297549,4.51
Sports,159,465482,4.72
Comedy,276,149756,4.75
Comedy,220,67402,3.73
News & Politics,32,105131,4.45
News & Politics,119,4582,4.94
Music,408,178278,4.85
Pets & Animals,130,38552,4.73
Howto & Style,130,323,3.33
Entertainment,320,42929,3.95
Music,278,48429,4.62
Entertainment,312,37709,4.8
Entertainment,75,809,5
Comedy,170,1540858,2.72
Film & Animation,116,356570,3.63
News & Politics,642,174709,3.8
People & Blogs,647,6696,5
Travel & Events,58,727337,2.51
Comedy,418,1517045,4.86
Sports,164,340055,4.51
Film & Animation,329,84,5
Entertainment,206,27425,4.89
Sports,34,2457,4.64
Comedy,240,151373,4.87
Music,152,207065,2.75
Music,240,157,5
Sports,169,298205,4.6
People & Blogs,51,7782,4.88
Entertainment,103,256350,3.88
Entertainment,328,218973,3.16
Sports,114,179774,4.7
Music,218,123309,2.46
Entertainment,504,257424,4.87
Entertainment,513,256222,4.86
News & Politics,300,122532,4.77
Music,236,78093,4.63
Sports,61,71128,3.75
Entertainment,647,211220,4.9
News & Politics,30,789124,4.04
Entertainment,109,522461,4.64
Comedy,435,644427,3.18
Film & Animation,462,50693,4.75
Comedy,100,137500,4.7
Entertainment,367,15394,4.94
Comedy,162,42798,4.85
Music,228,69758,3.66
Music,218,34362,4.54
Comedy,129,35480,4.84
News & Politics,445,14423,4.88
Entertainment,432,24169,4.74
Pets & Animals,39,411950,4.41
Sports,121,307348,4.93
Comedy,233,14338,4.84
People & Blogs,687,27878,4.86
Entertainment,167,17982,4.76
Comedy,273,29815,4.84
Entertainment,161,11503,4.86
Comedy,136,95508,4.86
Sports,137,139339,4.7
Sports,307,125297,4.14
Sports,198,186435,4.6
Sports,174,196858,4.41
Sports,47,89863,4.41
Sports,230,91335,4.61
Sports,1172,178831,4.71
Sports,182,75350,4.35
Sports,521,33846,4.52
Sports,179,81929,4.61
Sports,189,631115,3.63
Howto & Style,287,90366,4.13
Film & Animation,366,11890,4.84
Film & Animation,81,94857,4.4
Entertainment,393,60773,4.87
Film & Animation,442,59565,4.91
Entertainment,27,34029,4.83
Music,225,41968,4.71
Entertainment,151,31744,4.67
Film & Animation,505,4248,2.74
News & Politics,149,39412,4.67
Education,597,4166,2
Sports,121,202,0
Pets & Animals,53,233,0
Entertainment,35,201,0
