Length,Views,Rate
595,76939,3.63
170,32585,4.93
313,10832,4.79
160,83129,4.67
288,59924,4.86
312,133151,4.69
60,22868,4.48
335,60199,3.37
106,99929,4.73
22,2441,4.9
12,85847,3.07
156,105205,4.5
50,58361,3.87
183,110471,4.94
60,469647,2.43
62,114129,1.89
41,602736,2.74
292,454,5
429,18315,4.86
262,607232,4.5
540,124,4
543,1699,4.95
446,316,4.6
157,303218,4.41
382,2679919,2.96
53,2179862,2.39
232,112,5
49,21814,4.87
59,243712,4.48
304,123910,3.8
100,549,4
399,6279,5
36,15968,4.35
73,11340,0
587,231747,4.84
251,356140,4.77
106,214659,4.37
66,219341,3.34
175,204254,2.86
302,86185,4.88
57,113774,4.33
555,188892,4.85
332,124081,5
639,170384,4.91
31,38883,2.5
461,121622,4.92
50,91345,3.23
128,103640,4.62
115,140923,4.89
61,91146,4.93
526,145108,4.91
126,1631204,4.08
807,763861,3.8
169,591923,4.11
88,567805,4.35
301,463726,4.72
652,537707,4.67
96,467522,4.01
424,30903,4.72
250,8094,4.93
213,3744,4.95
250,22135,4.93
223,27881,4.82
272,85724,4.45
168,66342,4.84
41,59443,4.84
163,18575,4.96
237,14108,4.62
280,708,3.97
303,560,3.97
379,837,4.99
307,593,4.6
235,540,3.96
317,464,3.42
293,616,4.86
229,934,4.98
254,840,5
361,219185,4.75
150,279862,4.8
213,349324,4.53
134,192046,4.71
220,400454,4.49
347,368928,4.7
377,102148,4.94
172,39878,4.88
231,7730,4.96
418,9289,4.93
88,45559,4.87
206,6862,4.86
399,8299,4.82
248,617,4.99
209,472,4.98
195,282680,4.85
525,133427,4.69
180,87068,4.25
180,81401,3.43
179,78024,4.22
180,78341,3.94
180,77115,3.82
180,61395,2.57
180,374521,4.64
410,840993,4.41
53,35348,4.72
479,134826,4.63
258,17750,4.62
223,25950,4.06
1,18806,5
583,31382,4.96
184,556824,4.15
599,63499,4.89
131,16295,4.52
559,23704,4.87
100,405302,4.65
43,304304,4.35
421,80,0
395,82,5
412,64,1
87,75,0
82,73,0
309,71,0
194,211,0
620,76,0
25,79,0
171,40,0
407,8,0
10,1,0
195,8,0
57,93,5
7,0,0
506,0,0
339,0,0
12,0,0
7,0,0
42,4,0
359,0,0
301,0,0
32,17,0
12,0,0
57,5,0
33,5,0
276,1,0
121,17,0
33,9,0
4,0,0
162,1,0
233,9,0
192,10,0
185,0,0
109,0,0
24,22,5
71,0,0
17,0,0
167,3,0
247,0,0
71,3,0
233,0,0
109,0,0
58,0,0
336,0,0
18,1,0
205,20,5
489,0,0
297,0,0
9,0,0
413,0,0
258,0,0
177,0,0
30,0,0
83,0,0
153,0,0
246,1,0
447,0,0
34,16,0
54,0,0
242,0,0
211,29,0
261,0,0
101,0,0
31,0,0
198,1,0
399,0,0
264,0,0
25,2,0
646,0,0
156,0,0
603,0,0
79,0,0
303,0,0
93,0,0
167,0,0
9,0,0
457,117,0
128,2,0
15,1,0
1,0,0
139,0,0
129,0,0
72,0,0
50,0,0
25,0,0
226,1,0
254,0,0
40,0,0
144,0,0
373,5,0
60,0,0
89,0,0
362,0,0
483,1,0
221,0,0
549,0,0
43,6,0
75,0,0
208,0,0
106,8489,4.27
149,112478,4.72
350,101547,4.22
264,120867,4.72
56,141083,4.12
94,102578,4.68
114,82085,4.67
90,42840,4.59
242,94588,4.53
337,37668,4.79
241,14943,4.96
62,37312,3
66,4764,4.94
356,42164,4.82
75,1967,4.45
319,9517,4.8
186,62928,4.89
40,38744,4.42
790,126139,4.55
423,14540,4.9
84,450342,4.49
146,84582,4
200,567905,4.62
437,444832,4.87
159,652058,4.23
516,137936,4.51
402,106333,3.03
264,167946,4.7
79,58630,4.89
222,121049,4.41
36,1076944,4.48
32,802735,3.2
273,4512,4.22
197,5029,3.06
41,749615,1.88
132,2320,4.52
182,668,2
166,436083,3.25
207,142910,3.74
229,1534,5
83,263,5
188,314,5
246,3619,5
248,1153,1.86
175,1286,4.82
110,11241,4.58
257,1693,4.74
109,1448741,3.32
20,273809,2.68
31,210865,2.28
72,170101,3.74
125,175388,4.65
221,143481,4.34
204,135912,3.56
75,124779,4.84
644,126489,4.54
68,114835,4.73
124,95152,3.85
68,92927,4.72
30,81668,4.51
57,69570,4.65
242,73800,4.12
5,787345,1.38
327,713952,2.57
40,555581,3.26
50,678042,3
185,488444,4.16
117,480652,4.57
265,38217,4.91
65,50217,4.8
181,23862,4.64
317,10892,4.88
351,9099,4.93
264,41442,4.52
150,4881,4.85
259,7768,4.94
398,35986,4.58
472,4534,4.91
599,6032,4.95
258,210629,4.91
137,123933,4.8
125,91529,4.94
136,62292,4.82
99,76075,4.85
315,155239,4.85
192,95063,4.69
201,16476,4.95
305,4512,4.92
211,6529,4.91
293,14511,4.78
157,8124,4.78
244,18741,4.83
92,172550,4.66
88,178231,4.58
382,133544,4.42
119,45722,3.87
201,25170,4.06
222,34685,4.41
291,27187,3.86
109,57987,3.5
110,39707,4.21
129,27744,4.44
111,8484,4.54
181,250323,4.15
125,379657,4.6
351,210240,3.37
173,358836,4.56
212,26379,4.75
24,1587,3.5
153,76095,4.33
186,2640,4
87,31328,3.89
635,190168,4.73
314,5433,4.5
331,22809,2.75
289,19727,4.39
75,86257,4.45
8,145,1
120,150,0
344,182,5
287,148,3
230,139,1
213,152,1
322,84,0
519,108,0
184,137,0
53,118,0
38,146,1
108,0,0
48,21,0
106,8,0
59,0,0
39,0,0
103,0,0
335,9,5
13,18,0
45,36,0
41,0,0
125,17,0
121,0,0
323,14,0
177,0,0
40,9,0
34,9,0
126,0,0
31,9,4
30,138,0
41,2,0
8,0,0
16,2,0
87,2,0
503,0,0
258,0,0
209,0,0
104,3,0
188,15,0
296,1,0
559,3,0
188,0,0
29,0,0
212,0,0
281,0,0
357,11,5
7,0,0
507,0,0
32,0,0
11,2,0
10,13,0
25,4,0
61,10,0
272,3,0
9,16,0
417,9,0
106,5,0
246,19,0
255,0,0
19,13,0
10,3,5
477,4,0
97,2,0
235,1,0
56,1,0
180,8,0
251,0,0
309,6,0
2,25,0
67,0,0
10,12,0
186,0,0
17,0,0
41,0,0
40,0,0
482,0,0
214,9,0
260,3,0
123,0,0
95,7,0
94,11,0
184,4,0
48,0,0
26,1,0
308,0,0
84,0,0
596,0,0
600,0,0
11,0,0
246,0,0
6,7,0
56,7,0
123,4,0
50,0,0
284,0,0
393,0,0
242,1,0
211,5,0
164,0,0
95,0,0
206,290865,4.56
196,60483,2.45
644,311879,4.46
273,358293,4.69
61,122620,4.85
41,135237,2.48
237,64200,4.27
334,174482,4.57
425,172886,3.17
364,63911,4.6
392,119542,3.8
181,2069,4.57
284,44400,4.85
205,51345,4.71
238,17585,4.91
128,89155,4.75
191,64630,4.79
125,18862,4.81
250,44963,4.85
236,22465,4.52
89,64567,3.05
54,146167,2.25
103,179931,3.64
517,809,5
262,650,2.54
86,527163,4.72
96,284394,4.05
622,17500,4.85
356,161455,4.7
378,309094,3.67
69,590107,3.37
258,1353,2.82
417,100159,4.33
196,153,4.8
196,1131,4.82
193,315,4.53
98,724,4.86
47,916910,4.22
71,464788,4.22
5,410790,1.43
594,139077,4.44
35,161471,4.29
345,176898,4.02
220,181080,4.4
95,143199,4.39
261,127637,4.76
118,129107,4.69
660,114843,4.75
219,113052,3.33
599,26373,5
494,71691,4.88
256,26590,4.87
224,92411,4.7
332,81682,4.79
223,923,4.08
269,1154,4.97
280,1429,4.43
264,824,2.91
293,1009,4.34
262,898,4.98
230,969,5
319,312857,4.75
285,32890,4.81
300,344534,4.84
368,35942,4.82
96,10231,4.94
568,15939,4.94
164,15368,4.73
421,8842,4.76
90,904209,4.4
190,62606,4.74
103,197372,4.33
32,107827,4.09
12,131203,2.43
63,103485,4.03
594,1314,3
340,7728,4.55
74,9692,3.57
61,82681,4.95
56,108351,3.8
593,14006,4.47
313,77518,4.78
72,30617,3.5
63,25585,3.23
90,11434,5
317,16014,4.91
537,50555,4.96
42,148,0
3,134,0
291,202,0
21,135,0
178,107,0
92,118,0
237,114,0
461,161,0
121,124,0
184,100,0
483,15,0
122,21,0
52,17,0
88,10,0
282,15,0
201,7,0
58,10,0
25,16,0
312,2,0
174,4,0
504,9,0
37,9,0
7,151,5
269,20,0
31,7,0
21,24,5
225,39,0
125,14,0
58,0,0
185,0,0
282,9,0
39,0,0
19,0,0
52,17,5
250,6,0
142,0,0
177,0,0
39,6,0
77,0,0
350,3,0
46,7,0
600,0,0
113,12,0
31,1,0
71,0,0
263,0,0
49,9,0
44,134,1
134,0,0
269,3,0
19,8,0
5,8,0
26,13,0
221,0,0
192,2,0
424,0,0
38,21,0
5,26,0
383,5,0
16,0,0
123,0,0
131,0,0
206,0,0
335,0,0
57,2,0
304,0,0
70,11,0
273,5,0
71,1,0
301,0,0
178,12,0
30,10,0
68,11,0
52,4,0
245,8,0
225,0,0
219,10,0
88,35,0
275,0,0
44,0,0
14,0,0
139,1,0
321,0,0
93,0,0
77,1,0
16,0,0
344,19,0
18,0,0
158,0,0
657,0,0
103,1,0
142,0,0
89,0,0
210,8,0
142,12,0
176,0,0
140,0,0
72,2,0
368,95204,4.75
85,11751,4.88
430,130256,4.17
562,159006,4.89
266,95384,4.76
142,399861,3.67
202,216825,2.65
155,49159,3.19
337,30807,4.75
71,119859,4.74
242,34279,4.84
525,285174,4.37
99,227,5
82,80,5
81,207,4.97
886,52513,4.93
165,30958,4.78
258,326374,4.19
453,54398,4.89
35,42841,3.86
401,113784,3.8
204,125647,4.29
225,14097,4.12
489,93551,3.77
139,1872,3.5
90,493407,4.07
107,293232,2.89
1,2084,2.6
51,526620,2.71
120,6840,4.65
41,7214,1.42
197,700558,3.13
146,385898,2.02
270,234149,2.98
48,172232,3.85
304,132630,4.27
487,128047,4.82
639,43558,5
254,102126,4.88
103,110267,4.71
277,107659,4.92
433,114169,4.89
56,82771,4.53
472,99243,4.88
231,508320,3.2
239,90189,4.64
277,66011,4.89
85,19130,4.75
495,41339,4.22
221,751,4.97
280,2514,4.97
269,931,4.69
254,1257,4.98
264,607,4.97
262,831,4.99
223,931,4.99
265,37475,4.92
167,53235,4.72
600,64182,4.91
238,8223,4.83
886,10296,4.95
80,18960,4.83
196,13533,4.9
236,711,4.76
255,101511,3.63
339,52752,4.83
246,466041,4.45
135,83011,4.65
42,40203,4.79
279,39173,4.81
16,8216,3.17
138,72872,4.03
46,64007,4.3
323,415334,4.72
350,0,0
38,0,0
34,0,0
619,0,0
126,1,0
267,0,0
216,0,0
77,0,0
451,0,0
196,0,0
595,0,0
29,0,0
99,0,0
76,0,0
24,0,0
243,0,0
7,0,0
6,0,0
60,0,0
142,0,0
5,0,0
255,0,0
346,0,0
277,0,0
36,0,0
83,1,0
302,0,0
32,0,0
120,0,0
147,1,0
250,0,0
34,0,0
49,0,0
267,0,0
79,0,0
29,0,0
72,0,0
10,2,0
59,0,0
83,0,0
205,0,0
160,0,0
182,0,0
14,0,0
351,0,0
122,0,0
172,0,0
114,0,0
26,0,0
324,0,0
120,0,0
277,0,0
138,0,0
244,1,0
230,0,0
194,0,0
455,0,0
242,0,0
75,0,0
245,4,5
181,0,0
339,1,0
314,0,0
12,0,0
14,0,0
155,1,0
114,0,0
17,0,0
85,0,0
259,0,0
56,0,0
3,0,0
108,0,0
457,0,0
54,5,0
620,0,0
71,0,0
65,1,0
342,1,0
103,0,0
16,0,0
34,0,0
49,0,0
264,2,0
85,0,0
59,0,0
232,0,0
328,0,0
607,0,0
108,1,0
79,0,0
198,0,0
17,0,0
173,0,0
93,0,0
29,0,0
291,0,0
58,0,0
298,0,0
278,0,0
97,321840,4.46
133,101375,4.68
256,145658,4.78
590,87788,4.64
300,268534,4.72
217,305254,4.89
212,110749,3.69
260,45198,4.32
133,19435,4.81
48,307,4.28
168,224,4.86
150,181453,4.39
195,34068,3.14
493,84544,4.67
95,5817,3.78
1038,123679,4.57
349,37740,4.63
227,54433,4.47
33,11578,3.97
23,46036,2.41
219,811,4.33
64,1565,4.17
261,110834,4.16
117,245082,4.3
74,375,3
200,994,4.86
207,436180,3.59
146,181,5
57,250138,3.26
260,206756,3.76
92,409,2.6
334,416,2.5
53,133743,2.58
167,80424,4.74
600,94704,4.51
7,59044,2.16
430,66366,4.6
136,95065,4.85
600,83754,4.51
66,62249,4.77
217,58849,2.52
313,627519,2.65
122,568310,4.8
115,13235,4.81
239,14170,4.91
216,4683,4.97
207,5565,4.81
133,5453,4.84
659,21702,4.91
52,8877,4.92
448,24094,4.78
216,5327,4.85
290,3605,0
476,4893,4.94
51,6921,4.74
467,5462,4.88
327,212,4.86
1377,9085,4.74
178,31987,4.68
167,7484,4.69
222,5605,4.85
432,65465,4.86
42,237908,4.52
450,143501,4.58
487,178886,4.1
460,12324,5
91,192179,4.71
600,74858,4.79
278,10940,4.96
42,10051,4.27
30,23310,4
426,207653,4.29
198,10300,5
52,85892,4.69
118,68,0
188,24,0
161,36,0
92,32,0
281,14,0
145,30,0
56,0,0
33,34,0
428,28,0
209,7,0
204,0,0
30,6,0
42,0,0
189,0,0
362,0,0
167,2,0
116,0,0
340,4,0
208,2,0
93,3,0
359,3,0
140,0,0
425,3,0
98,1,0
40,0,0
26,9,0
29,0,0
35,0,0
157,0,0
97,0,0
99,0,0
15,0,0
186,5,0
274,10,0
98,0,0
220,3,0
289,0,0
95,0,0
27,12,0
173,0,0
293,0,0
57,0,0
28,0,0
385,0,0
152,0,0
64,0,0
286,0,0
169,1,0
608,6,0
117,0,0
44,0,0
217,8,0
108,0,0
61,1,0
395,5,0
70,0,0
40,1,0
202,3,0
17,214,3
291,5,5
44,0,0
129,15,0
186,2,0
207,0,0
180,1,0
31,0,0
264,7,0
16,6,0
40,8,0
25,7,0
221,0,0
97,0,0
100,0,0
373,7,0
17,0,0
16,3,0
265,0,0
453,0,0
34,2,0
122,21,0
105,7,0
11,0,0
8,4,0
193,0,0
348,0,0
53,1,5
447,0,0
239,0,0
552,0,0
231,0,0
15,0,0
215,0,0
146,2,0
21,0,0
351,7,0
8,5,0
46,4,0
98,11,0
94,61,0
77,0,0
116,380354,4.64
41,6639,4.91
476,37191,4.84
94,42834,2.33
169,102819,4.73
399,45799,4.82
294,22529,4.83
283,57645,4.64
62,62087,4.94
782,19961,4.93
270,273952,4.69
392,9660,4.81
183,140059,4.5
63,46913,4.56
130,4723,3.46
126,223389,4.84
390,5182,1.43
232,79310,4.85
151,381,4.76
294,13430,4.88
64,503999,4.47
230,660,4
405,24312,4.93
163,168046,3.52
41,819018,3.53
371,511128,3.15
436,67,5
282,813287,4.92
375,384,4
601,6280,3.77
76,238598,1.57
469,218640,2.39
70,181014,2.73
75,214206,3.34
366,113531,3.49
25,92043,2.9
78,355411,4.45
90,80116,4.61
144,150052,3.26
287,89142,4.21
67,90426,2.98
120,84912,4.39
128,75489,4.74
146,419618,4.61
364,42351,4.95
30,1146,4.91
273,39384,4.82
473,7504,4.89
369,10983,4.75
228,57463,3.8
231,36491,4.87
309,930,4.98
254,844,4.99
229,721,4.96
254,1966,3.98
302,1246,4.98
264,781,5
211,536,4.23
264,550,4
234,456,4.75
411,82561,4.85
711,13470,4.88
140,48468,4.71
269,9906,4.82
422,5835,4.8
165,13524,4.64
55,1426,3.82
467,220014,3.39
243,132188,3.87
442,155387,4.11
133,89206,3.61
74,97565,4.39
193,86173,3.6
264,98308,4.27
311,113237,2.87
166,85815,3.57
383,44938,4.41
32,147468,4.74
147,20156,4.44
211,34958,2.43
151,109181,4.58
76,86,0
270,81,0
462,96,0
203,86,0
31,78,0
164,73,5
516,48,5
199,74,0
558,54,0
94,94,5
79,14,0
28,6,0
163,5,0
198,13,0
152,7,0
27,11,0
328,5,0
171,0,0
69,93,1
147,19,0
150,0,0
374,6,5
51,0,0
172,5,0
179,0,0
27,11,0
252,4,0
32,4,0
187,0,0
42,3,0
151,1,0
88,0,0
20,3,0
168,0,0
212,9,0
210,1,0
93,0,0
192,0,0
462,0,0
27,39,0
131,1,0
44,23,0
42,0,0
5,8,0
89,0,0
56,5,0
105,3,0
26,1,0
183,4,0
80,0,0
165,4,0
61,0,0
99,7,0
240,0,0
515,0,0
74,9,0
233,6,0
90,0,0
101,30,5
7,6,0
22,0,0
23,0,0
111,0,0
15,0,0
245,2,0
594,14,0
84,0,0
219,11,0
243,0,0
409,2,0
177,0,0
149,5,0
230,9,0
7,0,0
54,0,0
119,3,0
120,7,0
129,6,0
308,4,0
78,15,0
140,4,0
351,1,0
53,3,0
279,0,0
53,0,0
532,0,0
181,9,0
238,0,0
24,1,0
91,3,0
117,0,0
13,3,0
36,0,0
180,15,0
6,0,0
67,0,0
7,0,0
160,0,0
240,100180,4.81
43,176743,4.82
170,248643,4.7
446,229688,4.86
180,13918,4.36
235,169557,4.08
182,297549,4.51
159,465482,4.72
276,149756,4.75
220,67402,3.73
32,105131,4.45
119,4582,4.94
408,178278,4.85
130,38552,4.73
130,323,3.33
320,42929,3.95
278,48429,4.62
312,37709,4.8
75,809,5
170,1540858,2.72
116,356570,3.63
642,174709,3.8
647,6696,5
58,727337,2.51
418,1517045,4.86
164,340055,4.51
329,84,5
206,27425,4.89
34,2457,4.64
240,151373,4.87
152,207065,2.75
240,157,5
169,298205,4.6
51,7782,4.88
103,256350,3.88
328,218973,3.16
114,179774,4.7
218,123309,2.46
504,257424,4.87
513,256222,4.86
300,122532,4.77
236,78093,4.63
61,71128,3.75
647,211220,4.9
30,789124,4.04
109,522461,4.64
435,644427,3.18
462,50693,4.75
100,137500,4.7
367,15394,4.94
162,42798,4.85
228,69758,3.66
218,34362,4.54
129,35480,4.84
445,14423,4.88
432,24169,4.74
39,411950,4.41
121,307348,4.93
233,14338,4.84
687,27878,4.86
167,17982,4.76
273,29815,4.84
161,11503,4.86
136,95508,4.86
137,139339,4.7
307,125297,4.14
198,186435,4.6
174,196858,4.41
47,89863,4.41
230,91335,4.61
1172,178831,4.71
182,75350,4.35
521,33846,4.52
179,81929,4.61
189,631115,3.63
287,90366,4.13
366,11890,4.84
81,94857,4.4
393,60773,4.87
442,59565,4.91
27,34029,4.83
225,41968,4.71
151,31744,4.67
505,4248,2.74
149,39412,4.67
597,4166,2
121,202,0
53,233,0
35,201,0
600,238,5
31,208,0
218,205,0
43,213,0
59,207,0
179,217,0
439,218,0
480,211,0
5,203,5
149,213,0
86,205,0
21,228,0
31,64,1
97,75,2
65,3,0
151,150,0
13,15,0
33,215,0
84,7,0
205,11,0
526,2,0
59,16,0
49,3,0
31,38,0
100,0,0
207,9,0
324,14,0
47,3,0
167,48,5
47,11,0
145,218,0
563,64,0
8,12,0
593,10,0
76,3,0
14,28,0
220,16,0
125,1,0
479,0,0
121,73,5
32,13,0
148,37,5
357,23,4
91,202,0
20,0,0
81,9,0
330,18,0
117,0,0
10,11,5
108,17,0
14,0,0
239,41,1
232,0,0
15,4,0
43,18,0
136,8,4
44,5,0
195,0,0
515,0,0
261,32,0
230,80,5
86,0,0
39,0,0
50,256,5
22,0,0
26,0,0
88,0,0
21,14,0
169,0,0
243,18,0
82,0,0
141,3,0
75,2,0
34,8,0
61,13,0
44,2,0
410,56,2
41,26,0
637,56,0
285,0,0
11,50,0
206,0,0
283,0,0
198,219,1
224,3,0
41,0,0
221,3,0
12,0,0
392,0,0
258,2,0
12,0,0
300,12,0
540,12,0
103,0,0
151,0,0
184,57280,4.21
153,948718,4.64
183,64212,4.32
109,19193,4.72
227,548,4
68,27810,4
163,44406,3.91
118,1804,3.66
165,35095,4.68
327,34828,3.2
52,38377,3.25
391,44370,4.28
56,48874,4.92
171,5234,4.87
96,972,3.94
274,173307,4.18
135,3596,4.86
602,42424,4.89
315,12519,4.81
70,15862,4.59
244,987556,3.72
359,19526,3.08
84,690312,4.34
285,490,3.67
275,203654,4.71
660,976,5
126,116,5
82,113023,2.37
41,305222,3.31
236,136097,4.49
359,2059,4.89
622,208,5
79,570,3.67
277,592077,3.44
279,171747,2.78
270,158775,4.78
82,156654,4.75
264,85413,4.11
569,140655,4.77
112,96366,4.62
11,73989,4.15
81,56056,2.19
192,62858,4.83
11,56381,3.58
177,63283,4.61
145,55317,4.14
179,48357,4.34
437,47054,3.52
289,45028,4.64
186,26830,4.91
133,2104,4.88
26,10978,4.91
221,11883,4.8
579,44859,4.83
148,11442,4.69
563,37545,4.78
579,33064,4.86
216,30728,4.06
278,360233,4.84
196,4722,4.81
119,19611,4.7
1698,25766,4.85
350,23510,4.26
609,18026,4.77
600,908,4.93
79,8167,4.82
354,15403,4.72
280,276691,4.22
593,6173,4.93
38,187225,4.48
54,18195,4.79
483,1374,5
43,145967,1.99
353,44934,2.47
158,23769,4.48
541,0,0
228,0,0
70,0,0
35,0,0
215,1,0
295,0,0
345,0,0
12,0,0
6,0,0
180,0,0
198,2,5
266,0,0
9,0,0
49,0,0
24,0,0
108,1,0
181,2,0
390,0,0
53,0,0
43,0,0
17,0,0
16,0,0
63,0,0
65,1,0
279,0,0
31,3,0
30,0,0
113,4,0
22,0,0
448,0,0
207,0,0
173,0,0
38,0,0
249,0,0
19,0,0
20,0,0
26,0,0
72,0,0
16,0,0
117,0,0
168,5,0
64,0,0
14,0,0
596,0,0
32,0,0
40,0,0
97,2,0
61,0,0
600,0,0
86,0,0
22,0,0
205,0,0
104,0,0
335,0,0
154,0,0
580,0,0
62,0,0
12,0,0
69,0,0
70,0,0
125,0,0
78,0,0
19,0,0
65,0,0
125,3,0
16,0,0
45,0,0
113,0,0
207,0,0
90,0,0
390,0,0
15,0,0
398,0,0
146,0,0
98,0,0
120,0,0
68,2,0
530,0,0
21,0,0
289,0,0
600,0,0
270,0,0
221,0,0
250,0,0
553,1,0
72,0,0
63,0,0
286,0,0
196,0,0
280,0,0
211,5,0
241,0,0
58,0,0
10,0,0
207,0,0
354,0,0
215,0,0
32,0,0
31,1,0
124,62440,2.69
219,132882,4.55
161,60922,4.89
59,94862,4.85
158,29261,4.55
229,120520,4.71
330,57077,4.77
64,31391,4.12
50,85286,4.78
243,178296,2.96
605,57067,3.65
396,2719,4.88
89,8749,4.56
91,46326,4.51
245,557,3.49
378,33478,4.94
622,26821,4.78
349,12620,4.18
59,45397,4.9
60,45646,4.85
247,1087,0
216,1781,3.23
244,255,3.67
228,829,3.57
225,1950,4.7
541,1008,3.83
178,155906,4.36
168,336167,3.08
252,485528,3.56
104,877,5
222,151760,4.72
123,215732,3.11
189,206,4
263,432039,3.53
231,268559,2.97
117,200996,4.57
470,139363,4.45
98,73742,4.74
148,63468,4.64
114,49933,4.79
600,61023,4.94
73,58604,4.31
166,57993,4.75
181,1760065,3.52
193,74682,4.89
107,92740,4.65
191,25443,4.91
56,14849,4.97
59,22421,4.88
300,19970,4.89
178,16614,4.83
278,4436,4.89
109,26430,4.82
230,5945,4.79
99,16634,5
261,21728,4.83
804,9997,4.76
216,10277,4.91
131,31659,4.83
598,12892,4.92
64,7377,4.72
143,201,4.85
600,11089,4.97
59,138645,4.77
66,148000,3.43
136,77945,4.86
119,77990,4.74
190,101258,4.81
119,41848,3.13
56,34767,4.26
35,42200,3.83
72,36333,4.73
76,32806,3.39
91,27872,3.76
205,96804,4.06
318,268544,4.66
146,65126,4.74
108,18562,3.79
228,63578,4.96
1322,61922,4.76
424,23756,4.11
234,196991,4.82
194,18491,3.64
151,316489,4.92
94,195066,4.71
282,123,1
216,44,5
224,74,0
34,61,0
32,50,0
447,10,0
590,41,0
404,63,0
138,48,0
49,60,0
203,0,0
149,0,0
63,0,0
178,11,0
30,17,0
37,0,0
62,0,0
21,0,0
161,0,0
77,18,0
100,0,0
53,0,0
140,0,0
58,5,0
11,2,0
214,0,0
191,1,0
531,0,0
69,0,0
52,0,0
646,0,0
30,0,0
150,0,0
282,0,0
91,0,0
223,5,0
221,11,0
32,11,0
225,8,0
260,0,0
47,0,0
22,0,0
142,0,0
35,0,0
439,0,0
164,16,0
5,0,0
83,6,0
135,10,0
27,1,0
43,0,0
51,0,0
319,1,0
62,0,0
359,0,0
21,5,0
123,2,0
339,0,0
198,37,0
18,3,0
228,0,0
15,9,0
24,0,0
71,0,0
82,0,0
6,203,0
181,0,0
186,0,0
155,63,0
616,1,0
51,7,0
118,0,0
31,0,0
86,0,0
127,207,5
222,0,0
43,0,0
597,0,0
48,0,0
58,0,0
368,0,0
238,1,0
83,0,0
9,0,0
344,0,0
89,1,0
176,2,0
5,0,0
181,3,5
36,2,0
207,0,0
63,0,0
505,1,0
53,1,0
67,0,0
68,0,0
26,1,0
16,0,0
30,0,0
206,142046,4.78
286,319074,4.73
419,136696,4.62
56,121662,4.82
217,42589,4.15
171,706,4.93
364,67665,4.73
191,142004,4.68
108,59019,2.11
90,130933,3.46
206,30109,4.84
542,10671,4.84
61,2416,4.59
129,135694,4.75
373,10805,3.93
264,60039,3.63
191,33690,4.72
119,23407,4.88
157,27097,4.63
88,30439,2.83
102,220,0
157,974,4.84
121,201,5
420,3869,4.62
185,1460,4.86
172,328243,4.27
98,3183,4.31
208,742,4.28
84,765188,4.44
128,559158,4.47
32,213048,4.67
443,181759,3.9
54,175702,4.3
230,161352,4.22
471,231141,3.32
31,131575,3.07
249,112745,2.84
241,95396,4.12
258,85897,4.48
1262,116389,4.83
661,82485,4.73
169,837819,4.07
230,30452,4.9
267,59060,4.84
186,20121,4.94
163,55677,4.23
31,21307,4.99
157,15081,4.93
374,945,4.96
297,692,4.83
220,508,4
215,687,4
197,513,3.34
231,1417,3.99
660,101585,4.93
238,11372,4.91
473,19776,4.88
130,6778,4.6
561,5373,4.93
202,8596,4.68
205,11801,4.61
234,158977,3.79
146,439655,4.55
431,5620,4.12
961,92568,4.2
191,39315,4.97
501,45674,4.86
282,6178,5
373,32717,3.23
783,3709,4.72
217,123183,3.07
97,46477,4.76
93,44051,4.23
5,1867126,1.48
303,199,5
32,175,3
224,158,0
461,169,4
600,151,0
266,144,0
570,149,0
79,156,1
14,135,0
26,94,0
14,48,5
60,0,0
600,0,0
3,18,0
207,0,0
74,16,0
30,16,0
21,30,0
245,14,0
38,40,0
21,2,0
116,0,0
30,0,0
16,0,0
30,0,0
270,0,0
55,0,0
249,1,0
17,101,0
207,0,0
299,1,0
132,4,5
19,11,0
300,19,0
276,0,0
158,0,0
38,1,0
78,4,0
26,0,0
44,0,0
58,0,0
255,0,0
77,0,0
152,0,0
200,0,0
216,0,0
12,0,0
211,0,0
300,0,0
14,0,0
36,2,0
414,0,0
6,5,0
101,0,0
30,0,0
47,0,0
51,0,0
14,0,0
57,0,0
565,1,0
250,0,0
416,0,0
225,0,0
142,0,0
158,0,0
33,0,0
309,0,0
595,0,0
41,0,0
103,0,0
13,55,0
87,0,0
93,0,0
7,3,0
325,1,0
340,0,0
123,0,0
9,2,0
422,0,0
150,0,0
26,1,0
202,1,0
71,2,0
61,0,0
430,0,0
153,0,0
20,0,0
17,0,0
243,0,0
354,5,0
40,0,0
24,15,0
93,0,0
104,17,0
279,0,0
117,21,5
27,49,5
91,0,0
17,210,5
32,7,0
556,215836,4.91
98,425012,4.27
88,144708,4.63
43,9282,4.33
61,5676,4.95
236,107326,4.77
247,6968,5
127,36002,4.3
394,61584,4.87
25,89396,4.04
101,16651,3.5
276,230811,4.73
213,28319,4.21
183,38986,4.66
863,18302,4.84
159,8570,4.87
450,21167,4.94
495,70564,4.88
563,16741,4.21
278,19911,4.96
154,61872,2.84
331,1523943,3.05
216,666,4.76
640,706,4.93
105,281,3.91
853,292,5
422,1808,4.75
103,202208,4.64
888,134455,4.46
292,19189,4.88
359,265952,3.25
450,154849,4.76
558,107918,4.79
259,99033,4.46
135,105390,4.81
628,92797,4.87
113,81807,4.09
590,69630,4.57
568,59756,4.57
105,62404,3.67
27,55576,4.84
26,59237,4.7
202,108941,4.53
600,58249,4.47
448,551857,3.23
90,33734,4.88
167,32753,4.86
